Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_88_85,VPWR,li1,47.3800,252.9600,1.799942
FILLER_88_83,VPWR,li1,43.9300,252.9600,1.799950
FILLER_88_77,VPWR,li1,42.3200,252.9600,1.799950
FILLER_88_65,VPWR,li1,38.1800,252.9600,1.799956
FILLER_88_53,VPWR,li1,32.6600,252.9600,1.799965
FILLER_88_41,VPWR,li1,27.1400,252.9600,1.799975
FILLER_88_29,VPWR,li1,21.6200,252.9600,1.799984
FILLER_88_27,VPWR,li1,18.1700,252.9600,1.799984
FILLER_88_15,VPWR,li1,15.1800,252.9600,1.799984
FILLER_88_3,VPWR,li1,9.6600,252.9600,1.799984
FILLER_87_553,VPWR,li1,260.1300,247.5200,1.799690
FILLER_87_541,VPWR,li1,257.1400,247.5200,1.799690
FILLER_87_529,VPWR,li1,251.6200,247.5200,1.799690
FILLER_87_517,VPWR,li1,246.1000,247.5200,1.799690
FILLER_87_505,VPWR,li1,240.5800,247.5200,1.799690
FILLER_87_503,VPWR,li1,237.1300,247.5200,1.799690
FILLER_87_495,VPWR,li1,235.0600,247.5200,1.799690
FILLER_87_483,VPWR,li1,230.4600,247.5200,1.799690
FILLER_87_471,VPWR,li1,224.9400,247.5200,1.799690
FILLER_87_453,VPWR,li1,214.1300,247.5200,1.799700
FILLER_87_449,VPWR,li1,212.9800,247.5200,1.799706
FILLER_87_436,VPWR,li1,208.8400,247.5200,1.799715
FILLER_87_424,VPWR,li1,203.3200,247.5200,1.799741
FILLER_87_412,VPWR,li1,197.8000,247.5200,1.799781
FILLER_87_401,VPWR,li1,190.4400,247.5200,1.799827
FILLER_87_393,VPWR,li1,188.1400,247.5200,1.799843
FILLER_87_380,VPWR,li1,183.0800,247.5200,1.799886
FILLER_87_372,VPWR,li1,177.1000,247.5200,1.799929
FILLER_87_360,VPWR,li1,173.8800,247.5200,1.799929
FILLER_87_348,VPWR,li1,168.3600,247.5200,1.799927
FILLER_87_337,VPWR,li1,161.4600,247.5200,1.799927
FILLER_87_333,VPWR,li1,159.3900,247.5200,1.799926
FILLER_87_318,VPWR,li1,153.6400,247.5200,1.799926
FILLER_87_306,VPWR,li1,149.0400,247.5200,1.799927
FILLER_87_301,VPWR,li1,144.4400,247.5200,1.799927
FILLER_87_293,VPWR,li1,142.1400,247.5200,1.799927
FILLER_87_281,VPWR,li1,137.5400,247.5200,1.799928
FILLER_87_273,VPWR,li1,131.7900,247.5200,1.799928
FILLER_87_265,VPWR,li1,129.2600,247.5200,1.799929
FILLER_87_253,VPWR,li1,124.6600,247.5200,1.799931
FILLER_87_241,VPWR,li1,119.1400,247.5200,1.799932
FILLER_87_233,VPWR,li1,112.9300,247.5200,1.799934
FILLER_87_225,VPWR,li1,110.8600,247.5200,1.799935
FILLER_87_216,VPWR,li1,106.7200,247.5200,1.799938
FILLER_87_211,VPWR,li1,102.8100,247.5200,1.799941
FILLER_87_205,VPWR,li1,101.2000,247.5200,1.799941
FILLER_87_193,VPWR,li1,97.0600,247.5200,1.799944
FILLER_87_181,VPWR,li1,91.5400,247.5200,1.799947
FILLER_87_169,VPWR,li1,86.0200,247.5200,1.799951
FILLER_87_167,VPWR,li1,82.5700,247.5200,1.799954
FILLER_87_161,VPWR,li1,80.9600,247.5200,1.799954
FILLER_87_149,VPWR,li1,76.8200,247.5200,1.799957
FILLER_87_137,VPWR,li1,71.3000,247.5200,1.799961
FILLER_87_125,VPWR,li1,65.7800,247.5200,1.799964
FILLER_87_113,VPWR,li1,60.2600,247.5200,1.799968
FILLER_87_111,VPWR,li1,56.8100,247.5200,1.799971
FILLER_87_105,VPWR,li1,55.2000,247.5200,1.799971
FILLER_87_93,VPWR,li1,51.0600,247.5200,1.799974
FILLER_87_81,VPWR,li1,45.5400,247.5200,1.799978
FILLER_87_69,VPWR,li1,40.0200,247.5200,1.799981
FILLER_87_57,VPWR,li1,34.5000,247.5200,1.799984
FILLER_87_55,VPWR,li1,31.0500,247.5200,1.799987
FILLER_87_51,VPWR,li1,29.9000,247.5200,1.799987
FILLER_87_39,VPWR,li1,26.2200,247.5200,1.799990
FILLER_87_27,VPWR,li1,20.7000,247.5200,1.799993
FILLER_87_15,VPWR,li1,15.1800,247.5200,1.799993
FILLER_87_3,VPWR,li1,9.6600,247.5200,1.799993
FILLER_86_553,VPWR,li1,260.1300,247.5200,1.799690
FILLER_86_545,VPWR,li1,258.0600,247.5200,1.799690
FILLER_86_533,VPWR,li1,253.4600,247.5200,1.799690
FILLER_86_531,VPWR,li1,250.0100,247.5200,1.799690
FILLER_86_525,VPWR,li1,248.4000,247.5200,1.799690
FILLER_86_513,VPWR,li1,244.2600,247.5200,1.799690
FILLER_86_501,VPWR,li1,238.7400,247.5200,1.799690
FILLER_86_489,VPWR,li1,233.2200,247.5200,1.799690
FILLER_86_477,VPWR,li1,227.7000,247.5200,1.799690
FILLER_86_475,VPWR,li1,224.2500,247.5200,1.799690
FILLER_86_469,VPWR,li1,222.6400,247.5200,1.799690
FILLER_86_458,VPWR,li1,216.4300,247.5200,1.799695
FILLER_86_447,VPWR,li1,212.0600,247.5200,1.799706
FILLER_86_421,VPWR,li1,200.5600,247.5200,1.799759
FILLER_86_419,VPWR,li1,198.4900,247.5200,1.799781
FILLER_86_415,VPWR,li1,197.3400,247.5200,1.799781
FILLER_86_409,VPWR,li1,193.8900,247.5200,1.799804
FILLER_86_401,VPWR,li1,191.8200,247.5200,1.799827
FILLER_86_389,VPWR,li1,187.2200,247.5200,1.799857
FILLER_86_377,VPWR,li1,181.7000,247.5200,1.799886
FILLER_86_365,VPWR,li1,176.1800,247.5200,1.799929
FILLER_86_363,VPWR,li1,172.7300,247.5200,1.799928
FILLER_86_357,VPWR,li1,171.1200,247.5200,1.799928
FILLER_86_345,VPWR,li1,166.9800,247.5200,1.799927
FILLER_86_333,VPWR,li1,161.4600,247.5200,1.799927
FILLER_86_321,VPWR,li1,155.9400,247.5200,1.799926
FILLER_86_309,VPWR,li1,150.4200,247.5200,1.799927
FILLER_86_307,VPWR,li1,146.9700,247.5200,1.799927
FILLER_86_301,VPWR,li1,144.2100,247.5200,1.799927
FILLER_86_295,VPWR,li1,142.6000,247.5200,1.799927
FILLER_86_283,VPWR,li1,138.4600,247.5200,1.799928
FILLER_86_271,VPWR,li1,132.9400,247.5200,1.799928
FILLER_86_261,VPWR,li1,126.2700,247.5200,1.799930
FILLER_86_253,VPWR,li1,123.7400,247.5200,1.799931
FILLER_86_251,VPWR,li1,121.2100,247.5200,1.799931
FILLER_86_245,VPWR,li1,119.6000,247.5200,1.799932
FILLER_86_233,VPWR,li1,115.4600,247.5200,1.799933
FILLER_86_221,VPWR,li1,109.9400,247.5200,1.799936
FILLER_86_209,VPWR,li1,104.4200,247.5200,1.799939
FILLER_86_197,VPWR,li1,98.9000,247.5200,1.799942
FILLER_86_195,VPWR,li1,95.4500,247.5200,1.799946
FILLER_86_189,VPWR,li1,93.8400,247.5200,1.799946
FILLER_86_177,VPWR,li1,89.7000,247.5200,1.799948
FILLER_86_165,VPWR,li1,84.1800,247.5200,1.799953
FILLER_86_153,VPWR,li1,78.6600,247.5200,1.799956
FILLER_86_141,VPWR,li1,73.1400,247.5200,1.799959
FILLER_86_139,VPWR,li1,69.6900,247.5200,1.799962
